Unnamed: 0,image_id,student_id,qc_status,blue_score,exposure_score,blur_score,saturation_score,occupancy_score,fail_reasons,food_name,is_fruit,fruit_instance,lighting_session,background_id,image_name,best_score,best_params,hole_area,min_object_size,closing_radius,opening_radius,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93
0,01625398_003,1625398,pass,-0.0042948438634713,0.4845809731299927,190.3078049687548,0.2882823636999381,0.7177777777777777,none,apple,True,1,L2,B3,01625398_003.jpg,0.0838326954530506,"{'hole_area': 400, 'min_object_size': 200, 'closing_radius': 7, 'opening_radius': 2}",400,200,7,2,5265.5,306.61017,4.2253895,0.70384395,0.94985116,0.6547524,0.09699144,-1.0,-8.3427114e-17,1.3114522e-17,-0.80667204,0.034769982,0.003931013,0.05570722,-0.0010305386,-0.0076718084,-0.0737699,-0.012646913,-0.037820887,-0.015815876,0.013985148,0.0034449757,0.016477732,-0.013402672,-0.010425296,0.018268747,-0.02317283,0.00021683516,0.0110890195,-0.014135933,-0.019437151,0.01809174,0.013163233,-0.0017574389,-0.023684539,0.010565191,-0.01865038,-0.018624136,-0.00045306166,0.020077674,-0.0020679405,-0.007636087,0.0010457936,-0.008048567,-0.0134394625,0.008126251,0.0076792226,283.0,1.0876493,20.274273,6.147445,8.6307125,3.6497455,1.6027136,1.8116702,6.0518265,2.2578964,3.6931694,1.3382455,1.8051232,1.2575109,2.2075942,0.31830987,0.010845083,0.14699695,0.08624882,0.011680594,0.026179027,0.09689551,0.046772793,0.033497266,0.028820353,0.008999248,0.020227665,0.0018362514,0.016822947,0.0348816,0.016967928,0.018253582,0.011931621,0.013749361,0.0105078583583235,0.0448895804584026,0.0362248346209526,0.0291167572140693,0.0192892663180828,0.0346649810671806,-0.1978198438882827,-0.3144527971744537,68.58894348144531,133.8896026611328,40.31528472900391,25.32546043395996,66.08387756347656
1,01625398_011,1625398,flagged,-0.06019728879206,0.4241326555313483,301.44956980643195,0.232261491702305,0.167037037037037,occupancy_issue,carrot,False,1,L2,B3,01625398_011.jpg,0.4243334578449774,"{'hole_area': 100, 'min_object_size': 200, 'closing_radius': 5, 'opening_radius': 1}",100,200,5,1,1337.5,209.49747,5.7283807,0.38295352,0.9043273,0.9825961,0.11134317,-1.0,7.411689e-17,-2.2307153e-16,-0.2565676,-0.005829265,-0.024720183,0.021534754,-0.03484993,-0.10308197,0.0022643881,0.0016348505,-0.05558246,0.0066896435,-0.009390272,-0.009692627,-0.010612482,-0.028888583,0.0052120183,0.0040462464,-0.025079457,0.006164341,-0.006710013,0.007009182,0.00024862462,-0.011892753,0.0021371588,-0.0024053473,-0.009368313,0.002589901,-0.00030424385,0.004604357,-0.000799218,-0.0026293858,0.0010470757,-0.0050210096,-0.008266665,0.0023542922,-0.0024872564,0.0051055145,0.0005483023,195.0,12.986505,62.70679,2.3270128,2.6079125,2.236046,3.5764117,0.44943342,0.70332277,0.7521127,0.25703925,0.30615366,0.13447154,0.23146805,0.23258854,0.31830987,0.0164584,0.42216665,0.2432506,0.061158292,0.0091972435,0.27752656,0.3531934,0.19187868,0.03229721,0.059814017,0.025267566,0.2758546,0.23803462,0.28669268,0.15336321,0.03779646,0.009541189,0.042906683,0.036903616040945,0.1958444565534591,0.198650375008583,0.1877776384353637,0.2266764193773269,0.1233698278665542,0.4004539549350738,0.831889271736145,134.62396240234375,211.03759765625,11.44825267791748,45.17502975463867,55.65334701538086
2,01625398_020,1625398,flagged,-0.0479837811667877,0.4809155168240135,477.2408311385459,0.1669719465289545,0.4961728395061728,saturation_issue,cucumber,False,1,L2,B3,01625398_020.jpg,0.5193871665021075,"{'hole_area': 100, 'min_object_size': 300, 'closing_radius': 7, 'opening_radius': 2}",100,300,7,2,2826.5,299.865,5.640288,0.39500928,0.7316852,0.7895087,0.13827214,-1.0,1.4829607e-16,-2.3430464000000003e-16,-0.5944664,0.058927253,-0.14134471,0.1706625,-0.22832273,-0.137416,0.011006066,-0.075888805,-0.00039696318,-0.0053066057,0.012978463,0.11060285,0.094592035,-0.045814365,-0.00021133925,0.01994688,-0.0122427875,-0.015219126,0.0012980539,-0.0023138907,-0.013684875,-0.016218118,0.023530977,-0.015900034,-0.036018882,0.010441646,0.0056931986,0.00041885956,-0.01857415,-0.007413063,-0.0065365043,-0.008294658,0.0016063699,0.0038068949,-0.0033537932,0.0055408566,0.015954807,263.0,15.603753,44.49207,26.120897,12.524279,14.055495,10.14218,3.6388829,1.131891,4.3168344,1.6326149,2.094009,1.8982302,1.549732,0.49987632,0.31830987,0.03237071,0.3768957,0.11654543,0.13066724,0.074574724,0.06505631,0.09134405,0.08750399,0.044633158,0.095455356,0.09128131,0.0482533,0.06703696,0.12051453,0.045146525,0.042635802,0.13785405,0.09204855,0.0671470984816551,0.0007101543014869,0.1070108041167259,0.0463176928460598,0.0808525010943412,0.0362365432083606,0.0054577784612774,-0.432124376296997,30.638729095458984,145.32003784179688,37.10895919799805,18.88360023498535,58.31010818481445
3,01625398_019,1625398,flagged,-0.0332251270878721,0.4674074074074074,1903.3909480109733,0.1283009225638129,0.1950617283950617,"saturation_issue, occupancy_issue",cucumber,False,1,L2,B3,01625398_019.jpg,0.4723516647849143,"{'hole_area': 100, 'min_object_size': 500, 'closing_radius': 3, 'opening_radius': 2}",100,500,3,2,1328.0,209.68124,5.753876,0.3795673,0.8370627,0.9770874,0.15145192,-1.0,4.254127e-17,-1.6226867000000001e-16,-0.2692091,0.0063048266,-0.013401733,0.08157843,0.012286012,-0.1017498,0.0029872272,-0.0016642512,-0.057723477,0.004069178,0.0060709817,0.010386145,0.0037036228,-0.024501503,-0.0030944424,-0.0013206536,-0.0238071,0.0021856832,-0.0011759589,0.0082182335,0.002374012,-0.012291974,-0.002624602,0.0069752713,-0.014938234,0.0009741937,0.0011133481,0.00075204857,-0.011050435,-0.0065292474,-0.0010629082,3.0535164e-05,-0.0123109035,-0.0011730844,0.00022657911,-0.0022121775,0.0014780253,184.0,3.9247525,59.06255,3.5620465,3.2589254,0.6616142,4.3141127,1.0514467,1.2998141,0.30412534,0.6576206,0.5431308,0.3908002,0.103660464,0.07774585,0.31830987,0.000455402,0.41287675,0.24495569,0.047192372,0.042517517,0.27522096,0.34292725,0.18976629,0.079541415,0.027894568,0.07295984,0.25783125,0.23478588,0.277481,0.14127022,0.08551313,0.040393677,0.0608333,0.0901392921805381,0.1504578441381454,0.2033196687698364,0.1832401603460312,0.2140197157859802,0.0983418822288513,0.7851395606994629,-0.4407670795917511,50.68754577636719,105.07952117919922,13.122888565063477,21.757884979248047,46.65821838378906
4,01625398_017,1625398,flagged,-0.02259283466473,0.428231420963447,346.44273580246914,0.1123658516904704,0.1288888888888889,"saturation_issue, occupancy_issue",cucumber,False,1,L2,B3,01625398_017.jpg,0.5975937701609573,"{'hole_area': 100, 'min_object_size': 200, 'closing_radius': 7, 'opening_radius': 2}",100,200,7,2,1959.0,263.7645,5.959353,0.3538438,0.7254212,0.86308146,0.18151258,-1.0,8.223914000000001e-17,-2.28426e-16,-0.4662536,0.071931824,-0.019487483,0.01749167,-0.06545585,-0.15336952,0.015945455,-0.1012649,0.03188741,-0.017787725,0.020288091,-0.034572966,0.05181695,-0.029949974,-0.027695986,0.010928346,-0.046659585,0.015043067,-0.023470424,0.0016085393,-0.04452287,-0.023319412,0.0007252072,0.015676767,-0.015771072,0.0022886125,0.021208068,0.016742393,0.0066031436,-0.014040439,0.0020967384,0.017288607,-0.006820401,-0.0030065072,-0.009335577,0.005007467,-0.005724173,223.99998,5.661935,49.99526,12.162949,17.662107,8.293646,2.4496174,6.026473,1.6033915,2.9293144,2.162355,0.948059,0.40250942,1.564846,0.65284395,0.31830987,0.011470444,0.4640829,0.16042596,0.06227982,0.028406734,0.26130855,0.19693908,0.1359215,0.053185772,0.041570045,0.021547217,0.071003415,0.15143718,0.16914324,0.11357973,0.089129314,0.13174276,0.024128975,0.0282924938946962,0.0726099982857704,0.0897683799266815,0.1050557196140289,0.1432683616876602,0.0931722149252891,0.4100877046585083,0.3520732820034027,28.288610458374023,140.11968994140625,31.77933883666992,21.540225982666016,57.69511795043945
5,01625398_012,1625398,flagged,-0.0764635681433067,0.495843137254902,1501.7101419143426,0.2316321041448129,0.1514814814814815,occupancy_issue,carrot,False,1,L2,B3,01625398_012.jpg,0.3758371824746615,"{'hole_area': 100, 'min_object_size': 200, 'closing_radius': 7, 'opening_radius': 2}",100,200,7,2,3211.5,290.7767,5.1310425,0.4773079,0.7748824,0.54932076,0.16505396,-1.0,4.1646006e-17,-3.7848886e-17,-0.8132986,0.044342674,0.063301146,0.06898918,-0.15362687,-0.05965857,-0.052525718,-0.08661053,0.047816936,0.02838586,0.05623838,0.01810875,0.054854065,-0.05352247,-0.04887735,0.01092639,0.008823137,-0.021654978,0.016629064,-0.018988246,-0.008027043,-0.035124835,0.007559896,0.03300357,-0.0043038926,-0.027663313,-0.0015129896,-0.010851254,0.006982126,-0.0080760615,-0.010623262,-0.019655863,-0.014455131,-0.0018829464,0.015765041,-0.0006858253,-0.015086276,239.0,7.704897,13.922127,20.236996,14.951077,6.8933597,7.8261323,1.1808418,4.2894998,3.031816,4.0545955,1.6828171,1.1979387,0.77162904,0.11152246,0.31830987,0.011028249,0.4087253,0.029435828,0.049943496,0.061828278,0.0054161516,0.057165638,0.06353461,0.02536785,0.06436859,0.02211238,0.14937943,0.013542831,0.08184524,0.05870571,0.0560675,0.02542067,0.047909275,0.0488582216203212,0.0142765678465366,0.0401381254196167,0.0391763038933277,0.0972651541233062,0.0318434387445449,-0.16417296230793,-0.185966745018959,79.88775634765625,168.92137145996094,47.83533477783203,57.92739868164063,49.82592010498047
6,01625398_002,1625398,pass,-0.0241217622851609,0.4840503510045993,228.48047277853988,0.3389763038274295,0.6077777777777778,none,apple,True,1,L2,B3,01625398_002.jpg,0.1824310363392093,"{'hole_area': 400, 'min_object_size': 200, 'closing_radius': 7, 'opening_radius': 2}",400,200,7,2,4423.0,301.7645,4.5374274,0.6103662,0.88788515,0.6597346,0.10853168,-1.0,2.3369591000000003e-16,-2.182875e-16,-0.83242625,0.06129265,0.06812895,-0.050534915,0.015548234,-0.059351314,0.09179585,0.0017633998,-0.022786155,-0.004576454,0.0053992663,-0.0562407,0.03181477,-0.059648305,0.014264652,-0.017973142,0.01994066,-0.01498661,-0.034099475,-0.0018666615,-0.035488047,-0.0037285765,-0.01946526,-0.021767344,-0.014845179,0.015133176,-0.012043872,-0.0023037111,0.0006433013,0.0026968077,0.014384772,0.028383505,-0.017748833,-0.0018174514,-0.004711937,0.00042024266,0.008875555,262.0,2.9178004,19.560957,4.252473,11.0770445,7.038512,8.870328,3.170309,3.2920656,3.7547693,3.1655936,2.0596776,1.7541989,1.8238171,1.6943488,0.31830987,0.006462551,0.23165958,0.10151745,0.014182584,0.0061297365,0.092774905,0.011468504,0.05885267,0.011857702,0.04149104,0.043307547,0.034587502,0.06372373,0.02857373,0.03747904,0.015616386,0.007982898,0.053179555,0.0363315939903259,0.0267510451376438,0.0224893428385257,0.032869916409254,0.0341735035181045,0.0110537772998213,-0.122239202260971,-0.1078257635235786,80.90845489501953,143.61734008789062,54.566650390625,22.814350128173828,67.04774475097656
7,01625398_009,1625398,pass,-0.1307697893972403,0.5620595497458242,1159.1907312147537,0.4550821700422282,0.8087654320987654,none,orange,True,1,L1,B3,01625398_009.jpg,0.0268776918815869,"{'hole_area': 100, 'min_object_size': 200, 'closing_radius': 5, 'opening_radius': 2}",100,200,5,2,1216.5,139.78174,4.0076923,0.782386,0.9654762,0.7486634,0.109570906,-1.0,1.5615936000000002e-16,-2.1803193e-16,-0.7005903,0.0068627824,-0.0060072048,-0.007723439,-0.059825674,-0.059105486,-0.0013791034,-0.002500118,0.0049999645,0.02191046,-0.0086865,-0.007482967,-0.008707794,-0.032295205,-0.005828383,0.001214822,-0.00012112335,0.011510478,-0.009037471,-0.0017638531,0.0026843965,-0.013249994,-0.0024035408,0.0066787293,-0.009195737,0.006125574,-0.0025847887,0.0052677165,0.0085358005,-0.006141672,0.00010029048,0.0013693362,-0.002898694,-0.0021011194,0.00042698643,-0.0015703909,0.004147309,116.99999,1.2587743,12.150353,2.4876497,3.324635,1.5308884,1.8655463,1.0344465,0.59132385,0.31819654,0.37935522,0.371466,0.39190215,0.20852816,0.23864403,0.31830987,1.3186479e-16,0.7451486,0.039395433,0.007056443,0.0067771366,0.7128901,0.13379045,0.009623169,0.02313182,0.024839746,0.003442157,0.32198593,0.19443738,0.04350068,0.0030645716,0.025402203,0.038269307,0.017127145,0.0014233516994863,0.1086971387267112,0.1306770294904709,0.0885018855333328,0.0175737012177705,0.0010151538299396,0.5175981521606445,0.6975859999656677,191.91065979003903,188.2178649902344,15.20376682281494,71.00398254394531,53.173336029052734
8,01625398_001,1625398,flagged,-0.0682265795206971,0.4935008472524813,1662.6457460752931,0.328450200381936,0.1823456790123457,occupancy_issue,apple,True,1,L2,B3,01625398_001.jpg,0.139374542779107,"{'hole_area': 100, 'min_object_size': 200, 'closing_radius': 7, 'opening_radius': 2}",100,200,7,2,3079.0,243.0782,4.3806763,0.65482837,0.9037276,0.5903108,0.16870354,-1.0,1.3834245000000002e-16,-1.9590354000000002e-16,-0.83531815,-0.022605626,0.012140587,0.08908355,0.0047328654,-0.017704153,0.00513715,0.003910747,-0.016403629,-0.0069139437,0.04726277,-0.02115347,-0.024189055,-0.012748266,-0.013137192,-0.0066724634,0.032539804,-0.008267282,0.03858592,0.015228236,0.0052418653,-0.0264415,-0.0072976267,0.0012190081,-0.0048044366,-0.007133275,0.020126197,-0.020327596,0.0071714446,-0.009991361,-0.0025347462,0.013266062,-0.0043421662,0.0034567942,0.0047588097,0.0002066873,-0.020250348,199.99998,0.54305357,11.075423,9.505673,1.080349,2.6265504,4.069029,5.3638697,2.254044,1.8267306,0.4588739,1.670173,0.502027,0.96621513,0.39324918,0.31830987,3.680976e-16,0.45171505,0.04912718,0.015423041,0.042795874,0.0044674794,0.06582106,0.0050339866,0.016991563,0.0814165,0.024924614,0.20112632,0.028842704,0.02378996,0.0029757496,0.028875137,0.013002596,0.046847314,0.0237165354192256,0.0145892836153507,0.0538756698369979,0.057461068034172,0.0082182772457599,0.0021965447813272,-0.0909249261021614,-0.0556311085820198,84.07138061523438,156.7267303466797,60.6190071105957,50.52070236206055,53.051788330078125
9,01625398_008,1625398,pass,-0.1769135802469136,0.5061113531832486,252.175606447188,0.6710522068909869,0.3075308641975308,none,orange,True,1,L2,B3,01625398_008.jpg,0.1237284782913097,"{'hole_area': 100, 'min_object_size': 200, 'closing_radius': 7, 'opening_radius': 1}",100,200,7,1,2603.5,222.40916,4.3588696,0.6613968,0.9202899,0.8124224,0.12891102,-1.0,-3.1228867e-17,8.6455766e-17,-0.61343807,-0.022709962,0.005779168,-0.026919115,-0.09734494,-0.05034278,-0.0009571968,0.011197822,-0.022758385,0.014152891,-0.001800924,-0.011948482,0.015640702,-0.006835251,0.005556319,0.011294073,-0.044671074,-0.004622302,-0.0032969946,-0.00024885955,0.038421545,0.009061691,0.006571307,0.0023048315,-0.024695374,-0.007208889,0.0014431773,0.0023888869,0.012792645,0.0070681917,0.005815625,-0.00041802903,0.0029042542,-0.0044729346,-0.00038463398,-0.0024392814,-0.005912346,192.99998,7.493511,26.449675,3.448285,2.5847337,0.90981627,2.4105637,1.9511812,2.3906302,1.1610967,0.67833036,0.023916457,0.22351097,0.050288662,0.40884358,0.31830987,2.878106e-16,0.4790868,0.1142781,0.04742048,0.035545073,0.1373098,0.16009517,0.060391307,0.0072632,0.024147276,0.036789387,0.10124043,0.016682308,0.09103916,0.033237368,0.09010446,0.01693647,0.060918026,0.02137884311378,0.1421089917421341,0.1096146777272224,0.0246909167617559,0.0617157034575939,0.0157885793596506,0.4820351004600525,0.5329744219779968,188.54905700683597,202.4065093994141,23.28838348388672,48.45474624633789,35.809810638427734
